"filename", "language", "XML", "HTML", "JavaScript", "CSS", "Java", "Properties", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\dashboardQL.jsp", "HTML", 0, 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\footer.jsp", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\UserInfor.js", "JavaScript", 0, 0, 22, 0, 0, 0, 4, 6, 32
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\dichvu.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 3, 21
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\nhanvien.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\phong.js", "JavaScript", 0, 0, 28, 0, 0, 0, 8, 6, 42
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\quanly.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\js\thongke.js", "JavaScript", 0, 0, 101, 0, 0, 0, 6, 8, 115
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\login.jsp", "HTML", 0, 60, 0, 0, 0, 0, 0, 5, 65
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\nhanvien.jsp", "HTML", 0, 124, 0, 0, 0, 0, 0, 5, 129
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\phong.jsp", "HTML", 0, 99, 0, 0, 0, 0, 2, 6, 107
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\build\web\sidebar.jsp", "HTML", 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\ant-deploy.xml", "XML", 49, 0, 0, 0, 0, 0, 20, 1, 70
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\build-impl.xml", "XML", 1327, 0, 0, 0, 0, 0, 107, 1, 1435
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\genfiles.properties", "Properties", 0, 0, 0, 0, 0, 6, 2, 1, 9
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\private\private.properties", "Properties", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\private\private.xml", "XML", 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\project.properties", "Properties", 0, 0, 0, 0, 0, 85, 4, 1, 90
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\nbproject\project.xml", "XML", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\context\DBContext.java", "Java", 0, 0, 0, 0, 20, 0, 3, 7, 30
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\BookingControl.java", "Java", 0, 0, 0, 0, 36, 0, 39, 8, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\BookingFormControl.java", "Java", 0, 0, 0, 0, 87, 0, 27, 17, 131
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\CancelBookingControl.java", "Java", 0, 0, 0, 0, 48, 0, 40, 10, 98
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\SearchBooking.java", "Java", 0, 0, 0, 0, 49, 0, 43, 9, 101
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\SearchRoomControl.java", "Java", 0, 0, 0, 0, 80, 0, 34, 18, 132
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\bookingDAO.java", "Java", 0, 0, 0, 0, 3, 0, 8, 3, 14
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DanhSachDatPhongControl.java", "Java", 0, 0, 0, 0, 36, 0, 39, 8, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DashBoardKHConTrol.java", "Java", 0, 0, 0, 0, 49, 0, 39, 9, 97
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DichVuManager\DichVuControl.java", "Java", 0, 0, 0, 0, 35, 0, 39, 8, 82
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DichVuManager\EditServiceControl.java", "Java", 0, 0, 0, 0, 60, 0, 46, 12, 118
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\InvoiceControl.java", "Java", 0, 0, 0, 0, 47, 0, 40, 10, 97
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\LogOutControl.java", "Java", 0, 0, 0, 0, 17, 0, 2, 6, 25
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\LoginControl.java", "Java", 0, 0, 0, 0, 53, 0, 0, 8, 61
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\DeleteControl.java", "Java", 0, 0, 0, 0, 34, 0, 39, 8, 81
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\EditControl.java", "Java", 0, 0, 0, 0, 41, 0, 23, 10, 74
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\HomeControl.java", "Java", 0, 0, 0, 0, 34, 0, 32, 7, 73
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\NhanVienControl.java", "Java", 0, 0, 0, 0, 59, 0, 9, 16, 84
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Phong\AddRoomControl.java", "Java", 0, 0, 0, 0, 47, 0, 38, 11, 96
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Phong\DeleteRoomControl.java", "Java", 0, 0, 0, 0, 35, 0, 39, 8, 82
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Phong\EditRoomControl.java", "Java", 0, 0, 0, 0, 58, 0, 42, 11, 111
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Phong\PhongControl.java", "Java", 0, 0, 0, 0, 35, 0, 39, 9, 83
