Date : 2025-05-26 19:37:43
Directory : c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan
Total : 124 files,  14839 codes, 1491 comments, 1866 blanks, all 18196 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\dashboardKH.jsp                                    | HTML       |        107 |          5 |         22 |        134 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\dashboardQL.jsp                                    | HTML       |         44 |          0 |          5 |         49 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\footer.jsp                                         | HTML       |         11 |          0 |          0 |         11 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\UserInfor.js                                    | JavaScript |         22 |          4 |          6 |         32 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\dichvu.js                                       | JavaScript |         16 |          2 |          3 |         21 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\nhanvien.js                                     | JavaScript |         26 |          2 |          3 |         31 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\phong.js                                        | JavaScript |         28 |          8 |          6 |         42 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\quanly.js                                       | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\thongke.js                                      | JavaScript |        101 |          6 |          8 |        115 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\login.jsp                                          | HTML       |         99 |          0 |         10 |        109 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\nhanvien.jsp                                       | HTML       |        262 |          1 |         22 |        285 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\phong.jsp                                          | HTML       |         99 |          2 |          6 |        107 |
| c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\sidebar.jsp                                        | HTML       |         23 |          0 |          1 |         24 |
| Total                                                                                                           |            |     14,839 |      1,491 |      1,866 |     18,196 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
